date,commit,branch,tokens_per_sec,step_ns,forward_ns,backward_ns,linear_fwd_ns,adam_ns
2026-06-08,0.3.0,main,1939,8251254,2829841,5387111,242719,773842
2026-06-08,0.4.0,main,4396,3639374,1355030,2230614,62517,776688
2026-06-08T18:46:26Z,f814b93,main,4415,3623254,1429319,2177320,63248,741547
2026-06-11T07:08:45Z,99dd4ad,main,4506,3550431,1370500,2127896,66584,741392
2026-06-11T16:34:18Z,ae75e5b,main,4346,3680703,1403784,2218614,64621,802208
2026-06-11T17:16:12Z,e849db0,main,4392,3642308,1370020,2188962,63977,784993
2026-06-11,0.7.1,main,4303,3718191,1408400,2235231,67181,794408
2026-06-11,0.8.0,main,4330,3694377,1419568,2217621,65733,801366
2026-06-11,0.8.1,main,4530,3531315,1327808,2133461,66451,771238
2026-06-11,0.9.0,main,4530,3531675,1317227,2124194,61231,754651
2026-06-13,1.4.6,main,4453,3592705,1287176,2248329,60319,751396
